Activity Id,Students Sets,Subject,Teachers,Room,SKS
1,CE-01-01,23278 - FEA4054 - TUGAS AKHIR,0,KELAS,4
2,TE-01-01,23350 - FEA4054 - TUGAS AKHIR,0,KELAS,4
3,TE-02-02,23339 - TEA40A3 - KOMUNIKASI OPTIK,AAF,KELAS,3
4,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,KELAS,2
5,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,KELAS,2
6,TE-04-01,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2
7,TE-04-01,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2
8,TE-04-02,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2
9,TE-04-02,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2
10,IE-03-01,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,KELAS,2
11,IE-03-02,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,KELAS,2
12,IE-03-03,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,KELAS,2
13,CE-04-01,23209 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2
14,EE-04-01,23291 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2
15,TE-02-01,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2
16,TE-02-02,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2
17,IS-02-01,23825 - ISA3242 - ETIKA PROFESI TEKNOLOGI INFORMASI,AGS,KELAS,2
18,IS-03-01,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AGS,KELAS,3
19,IS-03-01,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AGS,LAB,3
20,IE-04-01,23433 - LAA1022 - BAHASA INGGRIS 2,ALD,KELAS,2
21,IE-04-02,23433 - LAA1022 - BAHASA INGGRIS 2,ALD,KELAS,2
22,IF-01-01,23921 - FIB1052 - BAHASA  INGGRIS,ALD,KELAS,2
23,IF-01-02,23921 - FIB1052 - BAHASA  INGGRIS,ALD,KELAS,2
24,CE-01-01,23295 - CEA40H3 - KOMPUTASI PARALLEL,ALF,KELAS,3
25,CE-01-01,23292 - CEA40F3 - KENDARAAN CERDAS OTOMATIS TERHUBUNG,ALF,KELAS,3
26,CE-02-01,23366 - CEA3221 - PRAKTIKUM SISTEM OPERASI,ALF,LAB,1
27,CE-02-01,23364 - CEA3223 - SISTEM OPERASI,ALF,KELAS,3
28,CE-02-01,23369 - CEA3243 - KECERDASAN BUATAN,ALF,KELAS,3
29,TE-04-01,23188 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,ALF,KELAS,3
30,IT-01-01,23855 - ITA40B3 - PENGOLAHAN SINYAL DIGITAL,AMI,KELAS,3
31,IT-04-01,23750 - ITA1213 - KOMUNIKASI DATA,AMI,KELAS,3
32,IT-04-02,23750 - ITA1213 - KOMUNIKASI DATA,AMI,KELAS,3
33,DS-01-01,23876 - DSB1223 - LOGIKA FORMAL,ANA,KELAS,3
34,IS-04-03,23795 - MAA1033 - TEORI PROBABILITAS,ANA,KELAS,3
35,IS-04-04,23795 - MAA1033 - TEORI PROBABILITAS,ANA,KELAS,3
36,IT-02-01,23861 - ITA40H3 - KRIPTOGRAFI,ANA,KELAS,3
37,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3
38,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3
39,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3
40,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3
41,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,KELAS,3
42,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,LAB,3
43,CE-01-01,23286 - CEA40C3 - MEKATRONIKA,ARA,KELAS,3
44,CE-02-01,23370 - TPA3012 - EKONOMI TEKNIK,ARA,KELAS,2
45,CE-03-01,23265 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,KELAS,3
46,CE-03-02,23265 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,KELAS,3
47,EE-01-01,23426 - EEA40I3 - MEKATRONIKA,ARA,KELAS,3
48,TE-03-02,23203 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,KELAS,3
49,IF-01-01,23924 - IFB1234 - FISIKA,ARD,KELAS,3
50,IF-01-01,23924 - IFB1234 - FISIKA,ARD,LAB,3
51,IF-01-02,23924 - IFB1234 - FISIKA,ARD,KELAS,3
52,IF-01-02,23924 - IFB1234 - FISIKA,ARD,LAB,3
53,SE-02-01,23709 - SEA3283 - PEMROGRAMAN MOBILE,ARD,LAB,3
54,IT-03-01,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,ARN,KELAS,3
55,IT-03-01,23760 - ITA2273 - KECERDASAN BUATAN,ARN,KELAS,3
56,IT-03-02,23760 - ITA2273 - KECERDASAN BUATAN,ARN,KELAS,3
57,IT-03-03,23760 - ITA2273 - KECERDASAN BUATAN,ARN,KELAS,3
58,IS-01-01,23838 - ISA40F3 - MANAJEMEN RESIKO,ARS,KELAS,3
59,IS-02-01,23824 - ISA3233 - MANAJEMEN LAYANAN,ARS,KELAS,3
60,IS-02-02,23824 - ISA3233 - MANAJEMEN LAYANAN,ARS,KELAS,3
61,IS-03-01,23811 - ISA2233 - REKAYASA PROSES BISNIS,ARS,KELAS,3
62,IS-03-02,23811 - ISA2233 - REKAYASA PROSES BISNIS,ARS,KELAS,3
63,IE-02-01,23624 - IEA3243 - SIMULASI KOMPUTER,ASA,KELAS,3
64,IE-03-01,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,KELAS,3
65,IE-03-02,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,KELAS,3
66,IE-03-03,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,KELAS,3
67,IF-01-01,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,AWS,KELAS,3
68,IF-01-01,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,AWS,LAB,3
69,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,KELAS,3
70,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,LAB,3
71,IT-03-02,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,KELAS,3
72,IT-03-03,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,KELAS,3
73,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,KELAS,3
74,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,LAB,3
75,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,KELAS,3
76,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,LAB,3
77,IE-02-01,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,KELAS,2
78,IE-02-01,23620 - IEA3052 - PENGANTAR MANAJEMEN PELABUHAN,BIA,KELAS,2
79,IE-02-02,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,KELAS,2
80,IE-02-02,23624 - IEA3243 - SIMULASI KOMPUTER,BIA,KELAS,3
81,IE-04-01,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,KELAS,2
82,IE-04-01,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,LAB,1
83,IE-04-02,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,KELAS,2
84,IE-04-02,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,LAB,1
85,CE-02-01,23372 - CEA3231 - PRAKTIKUM SISTEM BASIS DATA,BLM,LAB,1
86,CE-02-01,23367 - CEA3233 - SISTEM BASIS DATA,BLM,KELAS,3
87,CE-04-01,23168 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,BLM,KELAS,3
88,CE-04-01,23186 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1
89,EE-04-01,23308 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1
90,TE-04-01,23189 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1
91,TE-04-02,23189 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1
92,IE-04-02,23461 - IEA1032 - PENGETAHUAN LINGKUNGAN,BLW,KELAS,2
93,DB-01-01,23988 - DBB1243 - AKUNTANSI DASAR DAN BIAYA,DAU,KELAS,3
94,DB-01-02,23988 - DBB1243 - AKUNTANSI DASAR DAN BIAYA,DAU,KELAS,3
95,IS-03-05,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,DAU,KELAS,3
96,IS-04-02,23799 - ISA1223 - KEPEMIMPINAN DAN KOMUNIKASI INTERPERSONAL,DAU,KELAS,3
97,IS-04-03,23799 - ISA1223 - KEPEMIMPINAN DAN KOMUNIKASI INTERPERSONAL,DAU,KELAS,3
98,SE-02-01,23719 - SEA30B3 - PENGGALIAN DATA,DEW,KELAS,3
99,SE-03-01,23696 - SEA2253 - PERANCANGAN DAN ARSITEKTUR PERANGKAT LUNAK,DEW,KELAS,3
100,SE-03-01,23692 - MAA1033 - TEORI PROBABILITAS,DEW,KELAS,3
101,IT-03-01,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,KELAS,3
102,IT-03-01,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,LAB,3
103,IT-03-01,23761 - ITA2283 - KEAMANAN INFORMASI,DIB,KELAS,3
104,IT-03-02,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,KELAS,3
105,IT-03-02,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,LAB,3
106,IT-03-02,23761 - ITA2283 - KEAMANAN INFORMASI,DIB,KELAS,3
107,IE-02-01,23622 - IEA3223 - ANALISIS KELAYAKAN,DMI,KELAS,3
108,IE-02-02,23622 - IEA3223 - ANALISIS KELAYAKAN,DMI,KELAS,3
109,IE-03-01,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,KELAS,3
110,IE-03-02,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,KELAS,3
111,IE-03-03,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,KELAS,3
112,IE-04-01,23454 - IEA1022 - PENGANTAR ILMU EKONOMI,DMI,KELAS,2
113,IE-04-02,23454 - IEA1022 - PENGANTAR ILMU EKONOMI,DMI,KELAS,2
114,EE-01-01,23427 - EEA40J3 - INTERNET OF THINGS,DMS,KELAS,3
115,EE-02-01,23310 - EEA3231 - PRAKTIKUM SISTEM INSTRUMENTASI DAN PENGUKURAN,DMS,LAB,1
116,EE-03-01,23325 - MAA2213 - MATEMATIKA TEKNIK 2,DMS,KELAS,3
117,EE-04-01,23297 - EEA1022 - PENGENALAN TEKNIK ELEKTRO,DMS,KELAS,2
118,EE-01-01,23655 - FEA4023 - MANAJEMEN PROYEK,DNR,KELAS,3
119,IE-04-01,23461 - IEA1032 - PENGETAHUAN LINGKUNGAN,DNR,KELAS,2
120,TE-03-01,23317 - TPA3022 - KEWIRAUSAHAAN,DNR,KELAS,2
121,TE-03-02,23317 - TPA3022 - KEWIRAUSAHAAN,DNR,KELAS,2
122,CE-03-01,23246 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,EDS,KELAS,3
123,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2
124,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2
125,CE-03-02,23246 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,EDS,KELAS,3
126,CE-03-02,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2
127,CE-03-02,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2
