"Room","Room Capacity","Building"
"LAB.CNC",40,"KETINTANG"
"LAB.DIGITAL",40,"KETINTANG"
"LAB.ERGONOMIC",40,"KETINTANG"
"LAB.FTIB.MODEL",40,"KETINTANG"
"LAB.FTIB.PROG",40,"KETINTANG"
"LAB.FTIB.PROG2",40,"KETINTANG"
"LAB.JARKOM",40,"KETINTANG"
"LAB.MACHINE.LEARNING",40,"KETINTANG"
"LAB.PHYSIC",40,"KETINTANG"
"LAB.POWER.ELECTRONICS",40,"KETINTANG"
"LAB.SMART.AUTOMATION",40,"KETINTANG"
"LAB.SOFTWARE",40,"KETINTANG"
"LAB.SYSTEM.MODELLING",40,"KETINTANG"
"LAB.TELEMATICS",40,"KETINTANG"
"LAB.WIRELESS.SIGNAL.PROCESSING",40,"KETINTANG"
"KTT1.02",100,"KETINTANG"
"KTT1.03",100,"KETINTANG"
"KTT1.04",100,"KETINTANG"
"KTT1.05",100,"KETINTANG"
"KTT1.06",100,"KETINTANG"
"KTT1.07",100,"KETINTANG"
"KTT1.08",100,"KETINTANG"
"KTT1.09",100,"KETINTANG"
"KTT1.16",100,"KETINTANG"
"KTT1.17",100,"KETINTANG"
"KTT1.18",100,"KETINTANG"
"KTT1.19",100,"KETINTANG"
"KTT1.20",100,"KETINTANG"
"KTT1.21",100,"KETINTANG"
"KTT1.22",100,"KETINTANG"
"KTT2.02",100,"KETINTANG"
"KTT2.03",100,"KETINTANG"
"KTT2.04",100,"KETINTANG"
"KTT2.05",100,"KETINTANG"
"KTT2.06",100,"KETINTANG"
"KTT2.07",100,"KETINTANG"
"KTT2.08",100,"KETINTANG"
"KTT2.09",100,"KETINTANG"
"KTT2.15",100,"KETINTANG"
"KTT2.16",100,"KETINTANG"
"KTT2.17",100,"KETINTANG"
"KTT2.18",100,"KETINTANG"
"KTT2.19",100,"KETINTANG"
"KTT2.20",100,"KETINTANG"
